Asset_ID,Category,Monetization,Start_Date,Revenue_Date,Daily_Revenue
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-12,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-13,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-14,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-15,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-16,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-17,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-18,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-19,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-20,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-21,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-22,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-23,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-24,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-25,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-26,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-27,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-28,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-29,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-30,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-01-31,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-01,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-02,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-03,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-04,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-05,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-06,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-07,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-08,4.37
IP-0001,Finance & Business,Subscriptions,2025-01-12,2025-02-09,4.37
